
         10692900 function calls (9261265 primitive calls) in 55.373 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      592    0.006    0.000    0.363    0.001 <frozen importlib._bootstrap_external>:1383(_get_spec)
      592    0.001    0.000    0.364    0.001 <frozen importlib._bootstrap_external>:1415(find_spec)
      444    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
      328    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
      309    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
     2593    0.025    0.000    0.346    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      403    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       41    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       41    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
       41    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
      534    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      309    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      267    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     2593    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      267    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      309    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    267/4    0.001    0.000    0.338    0.084 <frozen importlib._bootstrap_external>:844(exec_module)
    12845    0.062    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      267    0.003    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       41    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
      550    0.001    0.000    0.001    0.000 <string>:2(__init__)
        1    0.602    0.602   55.375   55.375 Idk.py:5(main)
     1555    0.002    0.000    0.013    0.000 Image.py:1177(copy)
     1318    0.001    0.000    0.002    0.000 Image.py:1292(getbands)
     1318    0.009    0.000    0.024    0.000 Image.py:2096(resize)
     1562    0.006    0.000    0.009    0.000 Image.py:227(_conv_type_shape)
     3124    0.003    0.000    0.004    0.000 Image.py:2882(_check_size)
     1562    0.007    0.000    0.024    0.000 Image.py:2903(new)
     1562    0.007    0.000    0.042    0.000 Image.py:2980(frombuffer)
     1562    0.018    0.000    0.060    0.000 Image.py:3037(fromarray)
     1562    0.005    0.000    0.008    0.000 Image.py:397(_getencoder)
     6248    0.006    0.000    0.006    0.000 Image.py:483(__init__)
     3124    0.001    0.000    0.002    0.000 Image.py:495(width)
     3124    0.001    0.000    0.001    0.000 Image.py:499(height)
    15711    0.002    0.000    0.002    0.000 Image.py:503(size)
    10460    0.001    0.000    0.001    0.000 Image.py:507(mode)
     4686    0.009    0.000    0.013    0.000 Image.py:511(_new)
     1562    0.006    0.000    0.054    0.000 Image.py:668(__array_interface__)
     1562    0.012    0.000    0.039    0.000 Image.py:708(tobytes)
     4686    0.004    0.000    0.006    0.000 Image.py:814(load)
      244    0.001    0.000    0.004    0.000 Image.py:868(convert)
       33    0.000    0.000    0.000    0.000 ImageMode.py:25(__init__)
     2880    0.002    0.000    0.002    0.000 ImageMode.py:36(getmode)
     3750    0.004    0.000    0.006    0.000 _VF.py:26(__getattr__)
     1586    0.000    0.000    0.000    0.000 __future__.py:20(get_overwrite_module_params_on_conversion)
       45    0.001    0.000    0.848    0.019 __init__.py:1(<module>)
     1650    0.003    0.000    0.008    0.000 __init__.py:1060(flush)
     1650    0.005    0.000    0.047    0.000 __init__.py:1071(emit)
        8    0.000    0.000    0.002    0.000 __init__.py:109(import_module)
     1650    0.001    0.000    0.002    0.000 __init__.py:119(getLevelName)
        1    0.000    0.000    0.000    0.000 __init__.py:124(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:130(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
     1650    0.005    0.000    0.182    0.000 __init__.py:1436(info)
        3    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        2    0.000    0.000    0.001    0.000 __init__.py:148(get_save_dir)
     1650    0.009    0.000    0.019    0.000 __init__.py:1514(findCaller)
     1650    0.004    0.000    0.073    0.000 __init__.py:1550(makeRecord)
     1650    0.006    0.000    0.175    0.000 __init__.py:1565(_log)
     1650    0.003    0.000    0.076    0.000 __init__.py:1591(handle)
     1650    0.002    0.000    0.003    0.000 __init__.py:160(<lambda>)
        4    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
      550    0.002    0.000    0.003    0.000 __init__.py:163(_handle_deprecation)
     1650    0.004    0.000    0.059    0.000 __init__.py:1645(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
     1650    0.002    0.000    0.002    0.000 __init__.py:1689(isEnabledFor)
        3    0.000    0.000    0.000    0.000 __init__.py:169(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:171(MergeError)
       22    0.000    0.000    0.001    0.000 __init__.py:176(flex_method_SERIES)
     6602    0.004    0.000    0.006    0.000 __init__.py:176(is_initialized)
        1    0.000    0.000    0.000    0.000 __init__.py:179(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:18(IntCastingNaNError)
      550    0.003    0.000    0.016    0.000 __init__.py:180(check_dict_alignment)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:182(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:184(plt_settings)
        1    0.000    0.000    0.000    0.000 __init__.py:185(AbstractMethodError)
     1650    0.008    0.000    0.008    0.000 __init__.py:191(<genexpr>)
      550    0.001    0.000    0.001    0.000 __init__.py:192(<listcomp>)
        1    0.000    0.000    0.064    0.064 __init__.py:2(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:204(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:207(NumbaUtilError)
        1    0.000    0.000    0.000    0.000 __init__.py:213(DuplicateLabelError)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
     6602    0.004    0.000    0.010    0.000 __init__.py:219(_lazy_init)
    21088    0.004    0.000    0.004    0.000 __init__.py:22(_init)
        1    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:234(InvalidIndexError)
        2    0.000    0.000    0.000    0.000 __init__.py:238(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:24(NullFrequencyError)
      283    0.000    0.000    0.001    0.000 __init__.py:24(_module_matches_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:242(DataError)
     1650    0.002    0.000    0.004    0.000 __init__.py:249(emojis)
        1    0.000    0.000    0.000    0.000 __init__.py:251(SpecificationError)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
     1650    0.005    0.000    0.009    0.000 __init__.py:262(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:279(SettingWithCopyError)
     1650    0.027    0.000    0.070    0.000 __init__.py:282(__init__)
